grid_id,gvi,svf,bvf,rvf,canyon_ratio,canopy_height_proxy,vegetation_sky_ratio,scenario,anomaly_type,residual,canopy_pct,impervious_pct,lat,lon
CA-220,0.0001,0.4128,0.1831,0.3445,0.4545,0.0,0.0003,center_city_canyon,hot,6.01,0.0,61.0,39.9404,-75.18922
CB-90,0.2246,0.2771,0.0707,0.4054,0.4163,0.335,1.2329,ne_philly_rooftop,cool,-3.49,3.8,63.1,40.05748,-75.18817
CD-209,0.4603,0.1447,0.0632,0.321,0.8287,0.4439,63.0511,center_city_canyon,hot,3.32,0.0,87.3,39.95031,-75.18572
CD-223,0.006,0.191,0.3569,0.2411,17.9483,0.2577,0.0501,center_city_canyon,hot,4.87,0.0,83.7,39.9377,-75.1857
CL-222,0.0,0.1344,0.4752,0.27,11.274,0.0,0.0,center_city_canyon,hot,4.06,2.6,76.7,39.93861,-75.17634
CQ-207,0.0296,0.0166,0.6467,0.2869,1392.238,0.0,38.7386,center_city_canyon,hot,3.24,0.0,81.9,39.95212,-75.17051
CR-222,0.0053,0.3204,0.2112,0.4066,0.81,0.0,0.0155,center_city_canyon,hot,4.82,0.0,60.1,39.93861,-75.16932
CV-219,0.102,0.2516,0.228,0.3181,1.5804,0.2054,0.7162,center_city_canyon,hot,3.1,0.0,70.0,39.94131,-75.16465
CX-197,0.0423,0.2167,0.2407,0.4165,1.2132,0.1932,0.2475,center_city_canyon,hot,7.66,0.0,86.3,39.96113,-75.16232
CY-204,0.0001,0.0,0.2671,0.0,0.0,0.0,0.0,center_city_canyon,hot,3.92,0.0,88.8,39.95482,-75.16115
DA-214,0.0,0.0749,0.6715,0.198,6.2547,0.0,0.0,center_city_canyon,hot,3.48,0.0,81.9,39.94582,-75.1588
DC-207,0.0,0.0076,0.2514,0.0735,1.568,0.0,0.0,center_city_canyon,hot,3.26,0.0,87.5,39.95213,-75.15646
DG-208,0.147,0.0792,0.343,0.3633,8.7343,0.3878,8.8757,center_city_canyon,hot,4.8,0.0,88.2,39.95123,-75.15178
DG-219,0.0,0.0474,0.6709,0.2696,61.165,0.0,0.0,center_city_canyon,hot,3.49,0.0,84.1,39.94132,-75.15178
DK-205,0.0855,0.0773,0.4566,0.3748,1124.8185,0.2038,0.2864,center_city_canyon,hot,4.57,0.0,89.2,39.95393,-75.1471
DM-188,0.1368,0.2202,0.1806,0.3857,2.1269,0.2119,1.2173,center_city_canyon,hot,3.66,0.0,81.8,39.96924,-75.14477
DN-207,0.1055,0.138,0.3061,0.3588,5.2772,0.4393,4.4642,center_city_canyon,hot,3.89,0.0,84.2,39.95213,-75.14359
DN-231,0.1625,0.4327,0.0377,0.3269,0.0856,0.0125,0.3824,center_city_canyon,hot,5.18,14.7,83.1,39.93051,-75.14358
DR-188,0.0233,0.23,0.2688,0.4072,4.0302,0.2255,0.2118,center_city_canyon,hot,5.31,0.0,85.5,39.96924,-75.13891
DS-178,0.0096,0.1735,0.3702,0.281,3.1419,0.0112,0.0996,kensington_industrial,cool,-3.5,0.0,86.2,39.97825,-75.13775
DS-197,0.0085,0.2735,0.2409,0.3507,1.421,0.0,0.0261,center_city_canyon,hot,3.29,0.0,83.5,39.96114,-75.13774
DU-193,0.0668,0.2707,0.2549,0.3215,1.5488,0.3493,0.2881,center_city_canyon,hot,3.84,0.0,86.9,39.96474,-75.1354
DX-192,0.1061,0.3729,0.0872,0.4219,0.2404,0.015,0.2839,center_city_canyon,hot,3.46,0.0,85.6,39.96564,-75.13189
DZ-135,0.0543,0.4183,0.0564,0.4457,0.1436,0.0184,0.1303,kensington_industrial,cool,-3.94,0.0,85.0,40.01698,-75.12956
FH-174,0.3261,0.2502,0.0261,0.2902,0.4811,0.3394,3.3825,kensington_industrial,cool,-3.1,4.4,86.0,39.98185,-75.08975
FJ-168,0.1169,0.3685,0.0748,0.4235,0.2667,0.1752,0.3705,kensington_industrial,cool,-6.84,0.0,87.1,39.98725,-75.0874
FJ-169,0.0975,0.3631,0.1145,0.4088,0.3173,0.1844,0.3059,kensington_industrial,cool,-3.64,0.0,86.5,39.98635,-75.0874
FL-173,0.1027,0.404,0.076,0.3761,0.2167,0.0094,0.2385,kensington_industrial,cool,-5.19,0.0,89.9,39.98275,-75.08506
FN-158,0.0545,0.3911,0.1001,0.3244,0.264,0.022,0.1354,kensington_industrial,cool,-3.74,6.0,77.1,39.99626,-75.08271
FS-168,0.2946,0.3105,0.0577,0.2373,0.1463,0.175,1.445,kensington_industrial,cool,-5.66,13.1,37.2,39.98725,-75.07687
FW-157,0.0243,0.354,0.1989,0.3217,0.5704,0.003,0.0662,kensington_industrial,cool,-3.96,0.0,84.6,39.99715,-75.07218
FW-81,0.0315,0.402,0.1239,0.4216,0.3575,0.0,0.0717,ne_philly_rooftop,cool,-4.66,0.9,84.2,40.0656,-75.07213
FZ-72,0.2331,0.2813,0.0627,0.3879,0.2608,0.2862,0.9572,ne_philly_rooftop,cool,-4.88,22.5,50.9,40.0737,-75.06861
GT-75,0.1638,0.404,0.0556,0.2789,0.1393,0.0409,0.4274,ne_philly_rooftop,cool,-4.7,7.0,56.3,40.07099,-75.04516
GY-91,0.1223,0.361,0.071,0.2652,0.1992,0.0894,0.3464,ne_philly_rooftop,cool,-4.51,1.5,64.7,40.05658,-75.03932
X-283,0.6444,0.0562,0.0,0.2582,0.0,0.4392,14.4319,west_philly_reinvest,hot,3.19,91.5,0.0,39.8836,-75.25346
Y-270,0.207,0.3631,0.1456,0.2462,0.4515,0.0818,0.6546,west_philly_reinvest,hot,4.56,11.9,52.4,39.89531,-75.25231
